Word,Count,Percentage,24274
The,1270,0.052319354,
How,667,0.02747796,
We,596,0.02455302,
Can,544,0.02241081,
Here's,451,0.01857955,
Are,282,0.011617368,
1,200,0.008239268,
People,197,0.008115679,
Do,164,0.0067562,
I,148,0.006097059,
Watch,98,0.004037241,
Who,92,0.003790063,
An,72,0.002966137,
For,63,0.00259537,
Tell,56,0.002306995,
Women,52,0.00214221,
5,39,0.001606657,
Should,37,0.001524265,
Literally,36,0.001483068,
Man,32,,0.208618275
Just,31,,
Everyone,31,,
Everything,31,,
6,30,,
Taylor,30,,
Would,28,,
New,28,,
Only,28,,
Things,28,,
Did,28,,
Lady,27,,
One,27,,
50,26,,
I'm,26,,
Amazing,24,,
Two,23,,
Amy,23,,
41,23,,
Kanye,22,,
42,22,,
40,22,,
Top,21,,
Tom,21,,
Ellen,20,,
Take,19,,
So,19,,
Kim,19,,
Disney,19,,
Kylie,19,,
Please,18,,
"Arrested,1
Couples,14
UPS,1
The",18,,
45,18,,
Don't,17,,
Cat,17,,
44,17,,
Adele,16,,
Woman,16,,
Men,16,,
Every,16,,
Incredible,15,,
Oh,15,,
Americans,15,,
100,14,,
Holy,14,,
J.K.,14,,
Try,13,,
Tina,13,,
Rick,13,,
Russian,13,,
Show,13,,
Twitter,13,,
Katy,13,,
Hey,13,,
Inside,13,,
Chrissy,12,,
Kids,12,,
Where,12,,
Harry,12,,
Hot,12,,
Creepy,12,,
Signs,12,,
Kendall,12,,
Another,11,,
51,11,,
Awesome,11,,
3,11,,
Pick,11,,
Old,11,,
47,11,,
Does,10,,
Gay,10,,
That,10,,
Drake,10,,
Nicki,10,,
55,9,,
Jon,9,,
American,9,,
Drunk,9,,
Michael,9,,
Fox,9,,
Now,9,,
Paul,8,,
Terrifying,8,,
Epic,8,,
Crazy,8,,
Check,8,,
Selena,8,,
53,8,,
Horrifying,8,,
Guess,8,,
Daniel,8,,
Listen,8,,
You'll,8,,
Leonardo,8,,
Remember,8,,
75,8,,
College,8,,
As,8,,
Apparently,8,,
And,8,,
48,8,,
Human,7,,
Prince,7,,
Day,7,,
George,7,,
Pizza,7,,
'90s,7,,
Worst,7,,
U.S.,7,,
Insane,7,,
Ruby,7,,
Super,7,,
Definitive,7,,
Serious,7,,
Neil,7,,
Look,7,,
